Hour,Demand (MWh),Plant 1 (MWh),Plant 2 (MWh),Plant 3 (MWh),Plant 4 (MWh),Plant 5 (MWh),Plant 1 Available (MWh),Plant 2 Available (MWh),Plant 3 Available (MWh),Plant 4 Available (MWh),Plant 5 Available (MWh),Clearing Price ($/MWh),Shadow Price ($/MWh),Production Cost ($),Market Cost ($),Curtailment (MWh)
1,435.457214,0.0,240.0,195.45721,0.0,0.0,0.0,240.0,300.0,400.0,1000.0,21.5,21.5,4682.330015,9362.330101,0.0
2,422.303309,0.0,200.0,222.30331,0.0,0.0,0.0,200.0,300.0,400.0,1000.0,21.5,21.5,5179.521165,9079.521139,0.0
3,409.807563,0.0,180.0,229.80756,0.0,0.0,0.0,180.0,300.0,400.0,1000.0,21.5,21.5,5300.86254,8810.862604,0.0
4,405.181912,0.0,180.0,225.18191,0.0,0.0,0.0,180.0,300.0,400.0,1000.0,21.5,21.5,5201.411065,8711.411112,0.0
5,400.07423,0.0,180.0,220.07423,0.0,0.0,0.0,180.0,300.0,400.0,1000.0,21.5,21.5,5091.595945,8601.595941,0.0
6,385.205404,0.0,160.0,225.2054,0.0,0.0,0.0,160.0,300.0,400.0,1000.0,21.5,21.5,5161.9161,8281.91619,0.0
7,384.491626,60.0,160.0,164.49163,0.0,0.0,60.0,160.0,300.0,400.0,1000.0,21.5,21.5,3916.570045,8266.569963,0.0
8,391.629404,120.0,160.0,111.6294,0.0,0.0,120.0,160.0,300.0,400.0,1000.0,21.5,21.5,2840.0321,8420.032195,0.0
9,411.856198,180.0,160.0,71.856198,0.0,0.0,180.0,160.0,300.0,400.0,1000.0,21.5,21.5,2044.908257,8854.908248,0.0
10,436.133912,300.0,136.13391,0.0,0.0,0.0,300.0,140.0,300.0,400.0,1000.0,2.0,2.0,572.26782,872.267825,3.86609
11,464.981658,360.0,104.98166,0.0,0.0,0.0,360.0,140.0,300.0,400.0,1000.0,2.0,2.0,569.96332,929.963316,35.01834
12,477.829658,450.0,27.829658,0.0,0.0,0.0,450.0,120.0,300.0,400.0,1000.0,2.0,2.0,505.659316,955.659317,92.170342
13,478.265341,478.26534,0.0,0.0,0.0,0.0,540.0,120.0,300.0,400.0,1000.0,1.0,1.0,478.26534,478.265341,181.73466
14,477.857468,420.0,57.857468,0.0,0.0,0.0,420.0,120.0,300.0,400.0,1000.0,2.0,2.0,535.714936,955.714936,62.142532
15,483.345214,360.0,100.0,23.345214,0.0,0.0,360.0,100.0,300.0,400.0,1000.0,21.5,21.5,1061.922101,10391.922092,0.0
16,502.904579,300.0,100.0,102.90458,0.0,0.0,300.0,100.0,300.0,400.0,1000.0,21.5,21.5,2712.44847,10812.448444,0.0
17,532.280706,240.0,80.0,212.28071,0.0,0.0,240.0,80.0,300.0,400.0,1000.0,21.5,21.5,4964.035265,11444.035179,0.0
18,544.646674,180.0,60.0,300.0,4.646674,0.0,180.0,60.0,300.0,400.0,1000.0,41.6,41.6,6943.301647,22657.301647,0.0
19,535.53442,60.0,80.0,300.0,95.53442,0.0,60.0,80.0,300.0,400.0,1000.0,41.6,41.6,10644.231872,22278.23188,0.0
20,517.625087,0.0,80.0,300.0,137.62509,0.0,0.0,80.0,300.0,400.0,1000.0,41.6,41.6,12335.203744,21533.203611,0.0
21,508.10496,0.0,120.0,300.0,88.10496,0.0,0.0,120.0,300.0,400.0,1000.0,41.6,41.6,10355.166336,21137.166336,0.0
22,507.391182,0.0,160.0,300.0,47.391182,0.0,0.0,160.0,300.0,400.0,1000.0,41.6,41.6,8741.473171,21107.473171,0.0
23,477.227119,0.0,200.0,277.22712,0.0,0.0,0.0,200.0,300.0,400.0,1000.0,21.5,21.5,6360.38308,10260.38305,0.0
24,449.491753,0.0,300.0,149.49175,0.0,0.0,0.0,300.0,300.0,400.0,1000.0,21.5,21.5,3814.072625,9664.072694,0.0
25,432.240579,0.0,240.0,192.24058,0.0,0.0,0.0,240.0,300.0,400.0,1000.0,21.5,21.5,4613.17247,9293.172449,0.0
26,426.048325,0.0,200.0,226.04832,0.0,0.0,0.0,200.0,300.0,400.0,1000.0,21.5,21.5,5260.03888,9160.038979,0.0
27,427.309023,0.0,180.0,247.30902,0.0,0.0,0.0,180.0,300.0,400.0,1000.0,21.5,21.5,5677.14393,9187.143994,0.0
28,435.800198,0.0,180.0,255.8002,0.0,0.0,0.0,180.0,300.0,400.0,1000.0,21.5,21.5,5859.7043,9369.704253,0.0
29,454.145214,0.0,180.0,274.14521,0.0,0.0,0.0,180.0,300.0,400.0,1000.0,21.5,21.5,6254.122015,9764.122101,0.0
30,497.518801,0.0,160.0,300.0,37.518801,0.0,0.0,160.0,300.0,400.0,1000.0,41.6,41.6,8330.782122,20696.78213,0.0
