Plant,Technology,Fuel,Capacity (MW),Profiled,Marginal Cost ($/MWh),Ramp Rate (MW/hr),Ramping Efficiency (MWh/MWhTh),Ramp Premium ($/MWh),Total Generation (MWh),Available Energy (MWh),Curtailed (MWh),Curtailment (%),Share of Demand (%),Capacity Factor (%),Availability Factor (%),Hours Running,Hours Last in Stack,Total Ramp Up (MWh),Total Ramp Down (MWh),Ramp Cost ($),Production Cost ($)
Plant 1,Solar,None,500.0,True,0.5,500000000.0,1.0,0.0,92225.0,92225.0,0.0,0.0,19.993304,24.791667,24.791667,403,0,13950.0,13950.0,0.0,46112.5
Plant 2,Wind,None,500.0,True,1.0,500000000.0,1.0,0.0,137153.26534,137175.0,21.73466,0.015844,29.733227,36.869157,36.875,744,3,9321.73466,9246.73466,0.0,137153.26534
Plant 3,Coal,Coal,100.0,False,21.5,100000000.0,0.4,0.0,73665.509776,74400.0,0.0,0.0,15.969823,99.012782,100.0,741,48,248.667582,248.667582,0.0,1583808.460184
Plant 4,Gas,Gas,600.0,False,41.6,600000000.0,0.5,0.0,158541.328453,446400.0,0.0,0.0,34.369909,35.515531,100.0,693,693,19967.847658,19947.331214,0.0,6595319.263653
Plant 5,Gas,Gas,1000.0,False,109.0,1000000000.0,0.2,0.0,0.0,744000.0,0.0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0
