Plant,Technology,Fuel,Capacity (MW),Profiled,Marginal Cost ($/MWh),Ramp Rate (MW/hr),Ramping Efficiency (MWh/MWhTh),Ramp Premium ($/MWh),Total Generation (MWh),Available Energy (MWh),Curtailed (MWh),Curtailment (%),Share of Demand (%),Capacity Factor (%),Availability Factor (%),Hours Running,Hours Last in Stack,Total Ramp Up (MWh),Total Ramp Down (MWh),Ramp Cost ($),Production Cost ($)
Plant 1,Solar,None,500.0,True,0.5,500000000.0,1.0,0.0,92225.0,92225.0,0.0,0.0,19.993304,24.791667,24.791667,403,0,13950.0,13950.0,0.0,46112.5
Plant 2,Wind,None,500.0,True,1.0,500000000.0,1.0,0.0,136256.645057,137175.0,918.354943,0.669477,29.53885,36.62813,36.875,744,3,10012.194623,9937.194623,0.0,136256.645057
Plant 3,Coal,Coal,100.0,False,21.5,25.0,0.4,0.0,72788.211845,74400.0,0.0,0.0,15.779635,97.833618,100.0,741,24,592.747907,592.747907,0.0,1564946.554668
Plant 4,Gas,Gas,600.0,False,41.6,600000000.0,0.5,0.0,160009.590723,446400.0,0.0,0.0,34.688212,35.844442,100.0,717,717,19971.129944,19950.6135,0.0,6656398.97406
Plant 5,Gas,Gas,1000.0,False,109.0,1000000000.0,0.2,0.0,0.0,744000.0,0.0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0
