Hour,Demand (MWh),Plant 1 (MWh),Plant 2 (MWh),Plant 3 (MWh),Plant 4 (MWh),Plant 5 (MWh),Plant 1 Available (MWh),Plant 2 Available (MWh),Plant 3 Available (MWh),Plant 4 Available (MWh),Plant 5 Available (MWh),Clearing Price ($/MWh),Highest Running Cost ($/MWh),Production Cost ($),Ramp Up (MWh),Ramp Down (MWh),Ramp Cost ($),Market Cost ($),Unserved Energy (MWh),Unserved Cost ($),Spill (MWh),Spill Cost ($),Curtailment (MWh)
1,435.457214,0.0,163.15391,100.0,172.30331,0.0,0.0,180.0,100.0,600.0,1000.0,2.0,41.6,9644.125516,0.0,0.0,0.0,870.914428,0.0,0.0,0.0,0.0,16.84609
2,422.303309,0.0,150.0,100.0,172.30331,0.0,0.0,150.0,100.0,600.0,1000.0,40.2,41.6,9617.817696,0.0,13.15391,0.0,16976.593014,0.0,0.0,0.0,0.0,0.0
3,409.807563,0.0,135.0,100.0,172.30331,2.504254,0.0,135.0,100.0,600.0,1000.0,142.0,76.0,9778.141015,2.504254,15.0,82.640389,58192.673946,0.0,0.0,0.0,0.0,0.0
4,405.181912,0.0,135.0,100.0,170.18191,0.0,0.0,135.0,100.0,600.0,1000.0,41.6,41.6,9499.567456,0.0,4.625654,208.651549,16855.567548,0.0,0.0,0.0,0.0,0.0
5,400.07423,0.0,134.86883,100.0,165.2054,0.0,0.0,135.0,100.0,600.0,1000.0,2.0,41.6,9292.2823,0.0,5.10768,295.604694,800.14846,0.0,0.0,0.0,0.0,0.13117
6,385.205404,0.0,120.0,100.0,165.2054,0.0,0.0,120.0,100.0,600.0,1000.0,81.2,41.6,9262.54464,0.0,14.86883,0.0,31278.678821,0.0,0.0,0.0,0.0,0.0
7,384.491626,50.0,120.0,100.0,114.49163,0.0,50.0,120.0,100.0,600.0,1000.0,41.6,41.6,7202.851808,50.0,50.71377,3012.397938,15994.85165,0.0,0.0,0.0,0.0,0.0
8,391.629404,100.0,120.0,100.0,71.629404,0.0,100.0,120.0,100.0,600.0,1000.0,41.6,41.6,5469.783206,50.0,42.862226,2546.016224,16291.783223,0.0,0.0,0.0,0.0,0.0
9,411.856198,150.0,120.0,100.0,41.856198,0.0,150.0,120.0,100.0,600.0,1000.0,41.6,41.6,4281.217837,50.0,29.773206,1768.528436,17133.21782,0.0,0.0,0.0,0.0,0.0
10,436.133912,250.0,86.133912,100.0,0.0,0.0,250.0,105.0,100.0,600.0,1000.0,2.0,21.5,2572.267824,100.0,75.722286,2486.258161,872.267825,0.0,0.0,0.0,0.0,18.866088
11,464.981658,300.0,64.981658,100.0,0.0,0.0,300.0,105.0,100.0,600.0,1000.0,2.0,21.5,2579.963316,50.0,21.152254,0.0,929.963316,0.0,0.0,0.0,0.0,40.018342
12,477.829658,375.0,2.829658,100.0,0.0,0.0,375.0,90.0,100.0,600.0,1000.0,2.0,21.5,2530.659317,75.0,62.152,0.0,955.659317,0.0,0.0,0.0,0.0,87.170342
13,478.265341,378.26534,0.0,100.0,0.0,0.0,450.0,90.0,100.0,600.0,1000.0,1.0,21.5,2528.26534,3.26534,2.829658,0.0,478.265341,0.0,0.0,0.0,0.0,161.73466
14,477.857468,350.0,27.857468,100.0,0.0,0.0,350.0,90.0,100.0,600.0,1000.0,2.0,21.5,2555.714936,27.857468,28.26534,0.0,955.714936,0.0,0.0,0.0,0.0,62.142532
15,483.345214,300.0,75.0,100.0,8.345214,0.0,300.0,75.0,100.0,600.0,1000.0,41.6,41.6,2947.160886,55.487746,50.0,495.705688,20107.160886,0.0,0.0,0.0,0.0,0.0
16,502.904579,250.0,75.0,100.0,77.904579,0.0,250.0,75.0,100.0,600.0,1000.0,41.6,41.6,5790.830486,69.559365,50.0,4131.826305,20920.830478,0.0,0.0,0.0,0.0,0.0
17,532.280706,200.0,60.0,100.0,172.28071,0.0,200.0,60.0,100.0,600.0,1000.0,41.6,41.6,9636.877536,94.376131,65.0,5605.942181,22142.87737,0.0,0.0,0.0,0.0,0.0
18,544.646674,150.0,45.0,100.0,249.64667,0.0,150.0,45.0,100.0,600.0,1000.0,41.6,41.6,12775.301472,77.36596,65.0,4595.538024,22657.301647,0.0,0.0,0.0,0.0,0.0
19,535.53442,50.0,60.0,100.0,325.53442,0.0,50.0,60.0,100.0,600.0,1000.0,60.0,41.6,15862.231872,90.88775,100.0,4507.73235,32132.065212,0.0,0.0,0.0,0.0,0.0
20,517.625087,0.0,60.0,100.0,325.53442,32.090667,0.0,60.0,100.0,600.0,1000.0,142.0,76.0,18251.122564,32.090667,50.0,1058.992011,73502.762326,0.0,0.0,0.0,0.0,0.0
21,508.10496,0.0,90.0,100.0,318.10496,0.0,0.0,90.0,100.0,600.0,1000.0,41.6,41.6,15563.166336,30.0,39.520127,1500.301935,21137.166336,0.0,0.0,0.0,0.0,0.0
22,507.391182,0.0,120.0,100.0,287.39118,0.0,0.0,120.0,100.0,600.0,1000.0,41.6,41.6,14345.473088,30.0,30.71378,1824.398532,21107.473171,0.0,0.0,0.0,0.0,0.0
23,477.227119,0.0,150.0,100.0,227.22712,0.0,0.0,150.0,100.0,600.0,1000.0,41.6,41.6,11902.648192,30.0,60.16406,3573.745164,19852.648134,0.0,0.0,0.0,0.0,0.0
24,449.491753,0.0,173.44343,100.0,176.04832,0.0,0.0,225.0,100.0,600.0,1000.0,2.0,41.6,9820.496972,23.44343,51.1788,3040.02072,898.983506,0.0,0.0,0.0,0.0,51.55657
