Plant,Technology,Fuel,Capacity (MW),Profiled,Marginal Cost ($/MWh),Ramp Rate (MW/hr),Ramping Efficiency (MWh/MWhTh),Ramp Premium ($/MWh),Total Generation (MWh),Available Energy (MWh),Curtailed (MWh),Curtailment (%),Share of Demand (%),Capacity Factor (%),Availability Factor (%),Hours Running,Hours Last in Stack,Total Ramp Up (MWh),Total Ramp Down (MWh),Ramp Cost ($),Production Cost ($)
Plant 1,Solar,None,500.0,True,0.5,500000000.0,1.0,0.0,92225.0,92225.0,0.0,0.0,19.993304,24.791667,24.791667,403,0,13950.0,13950.0,0.0,46112.5
Plant 2,Wind,None,500.0,True,1.0,500000000.0,1.0,0.0,136825.83908,137175.0,349.16092,0.254537,29.662245,36.78114,36.875,744,10,9547.68718,9472.68718,0.0,136825.83908
Plant 3,Coal,Coal,100.0,False,21.5,100000000.0,0.4,0.0,72384.220509,74400.0,0.0,0.0,15.692054,97.290619,100.0,734,26,1080.858623,1080.858623,0.0,1556260.740943
Plant 4,Gas,Gas,600.0,False,41.6,600000000.0,0.5,0.0,159844.388056,446400.0,0.0,0.0,34.652398,35.807435,100.0,708,708,19967.847658,19947.331214,0.0,6649526.543113
Plant 5,Gas,Gas,1000.0,False,109.0,1000000000.0,0.2,0.0,0.0,744000.0,0.0,0.0,0.0,0.0,100.0,0,0,0.0,0.0,0.0,0.0
